id	pointName	xsect(pb)
392	pMSSM12_MCMC1_47_650244	0.5839
393	pMSSM12_MCMC1_4_713745	0.05951
394	pMSSM12_MCMC1_3_757087	0.63
395	pMSSM12_MCMC1_24_267530	0.0008215
396	pMSSM12_MCMC1_29_814619	0.03785
397	pMSSM12_MCMC1_6_675977	0.1678
398	pMSSM12_MCMC1_48_189638	0.07303
399	pMSSM12_MCMC1_22_738878	0.08788
400	pMSSM12_MCMC1_6_617354	0.009247
401	pMSSM12_MCMC1_19_799228	0.139
403	pMSSM12_MCMC1_16_766741	0.01623
404	pMSSM12_MCMC1_26_696771	0.005325
407	pMSSM12_MCMC1_47_570093	0.303
409	pMSSM12_MCMC1_24_713229	0.001419
410	pMSSM12_MCMC1_19_247796	0.07074
411	pMSSM12_MCMC1_30_207140	0.06218
413	pMSSM12_MCMC1_33_249637	0.01353
414	pMSSM12_MCMC1_22_482074	2.453
415	pMSSM12_MCMC1_31_705733	0.2408
416	pMSSM12_MCMC1_26_408326	6.111
417	pMSSM12_MCMC1_9_586151	0.3193
418	pMSSM12_MCMC1_4_498116	0.183
419	pMSSM12_MCMC1_25_379022	0.00376
421	pMSSM12_MCMC1_34_504770	0.0387
422	pMSSM12_MCMC1_11_253472	0.114
423	pMSSM12_MCMC1_14_254988	0.00671
425	pMSSM12_MCMC1_36_462628	0.1142
429	pMSSM12_MCMC1_10_962439	1.188
431	pMSSM12_MCMC1_6_853700	0.0101
432	pMSSM12_MCMC1_39_869018	0.05374
433	pMSSM12_MCMC1_48_897413	0.1425
434	pMSSM12_MCMC1_45_857177	0.005457
435	pMSSM12_MCMC1_29_529211	0.02214
436	pMSSM12_MCMC1_40_196986	0.06897
437	pMSSM12_MCMC1_40_610123	0.4794
439	pMSSM12_MCMC1_13_766275	0.1742
440	pMSSM12_MCMC1_14_761560	0.0333
441	pMSSM12_MCMC1_4_212535	0.09456
442	pMSSM12_MCMC1_6_915772	0.03784
443	pMSSM12_MCMC1_26_229930	0.001979
446	pMSSM12_MCMC1_3_444976	0.002623
447	pMSSM12_MCMC1_10_505021	2.246
449	pMSSM12_MCMC1_17_804618	0.0002339
450	pMSSM12_MCMC1_33_650636	1.657
452	pMSSM12_MCMC1_22_243152	9.95
453	pMSSM12_MCMC1_22_864511	0.08325
454	pMSSM12_MCMC1_26_637588	0.005082
455	pMSSM12_MCMC1_38_874193	0.06528
456	pMSSM12_MCMC1_21_193027	0.01304
457	pMSSM12_MCMC1_32_416237	2.864
458	pMSSM12_MCMC1_16_547531	0.2133
459	pMSSM12_MCMC1_36_254620	0.8183
460	pMSSM12_MCMC1_3_870879	2.33
461	pMSSM12_MCMC1_13_689844	0.1191
462	pMSSM12_MCMC1_46_619202	0.26
463	pMSSM12_MCMC1_14_748775	0.2095
465	pMSSM12_MCMC1_3_949617	0.6105
466	pMSSM12_MCMC1_46_448662	0.001146
467	pMSSM12_MCMC1_30_527871	0.01506
468	pMSSM12_MCMC1_41_616014	0.003798
471	pMSSM12_MCMC1_17_447857	1.651
472	pMSSM12_MCMC1_16_457877	0.1709
473	pMSSM12_MCMC1_32_869968	0.02188
474	pMSSM12_MCMC1_27_420548	0.007832
475	pMSSM12_MCMC1_2_933039	0.0004885
476	pMSSM12_MCMC1_5_718196	0.07795
478	pMSSM12_MCMC1_26_974066	0.05075
479	pMSSM12_MCMC1_5_960871	0.6101
480	pMSSM12_MCMC1_2_238478	0.2476
481	pMSSM12_MCMC1_45_928117	0.02165
483	pMSSM12_MCMC1_27_568957	0.003333
484	pMSSM12_MCMC1_10_894639	0.009957
486	pMSSM12_MCMC1_15_596160	0.02604
487	pMSSM12_MCMC1_23_877787	0.1603
488	pMSSM12_MCMC1_9_275852	0.04884
489	pMSSM12_MCMC1_7_630866	6.425e-06
490	pMSSM12_MCMC1_22_650823	0.1321
491	pMSSM12_MCMC1_37_859261	0.1392
492	pMSSM12_MCMC1_15_575912	0.6587
493	pMSSM12_MCMC1_42_854774	0.1375
495	pMSSM12_MCMC1_5_955384	5.232
496	pMSSM12_MCMC1_24_442115	0.001659
497	pMSSM12_MCMC1_22_222626	0.5851
500	pMSSM12_MCMC1_7_914805	0.01216
501	pMSSM12_MCMC1_34_236121	0.02058
503	pMSSM12_MCMC1_46_290320	0.1429
504	pMSSM12_MCMC1_43_613311	0.002492
505	pMSSM12_MCMC1_2_624588	0.00154
507	pMSSM12_MCMC1_29_567914	7.322e-05
508	pMSSM12_MCMC1_32_772813	0.4024
509	pMSSM12_MCMC1_26_954362	0.7516
510	pMSSM12_MCMC1_41_375204	0.2756
511	pMSSM12_MCMC1_7_380681	0.09233
512	pMSSM12_MCMC1_8_354209	0.0001763
513	pMSSM12_MCMC1_8_899465	0.1143
514	pMSSM12_MCMC1_8_257132	0.0007807
516	pMSSM12_MCMC1_34_676087	0.3191
518	pMSSM12_MCMC1_8_782833	0.4795
519	pMSSM12_MCMC1_1_835867	0.1798
520	pMSSM12_MCMC1_9_463556	0.04374
521	pMSSM12_MCMC1_26_494895	0.001872
523	pMSSM12_MCMC1_17_988218	0.4517
524	pMSSM12_MCMC1_2_378101	69.42
528	pMSSM12_MCMC1_38_206916	0.001898
529	pMSSM12_MCMC1_12_968506	0.02368
530	pMSSM12_MCMC1_45_401119	0.9977
531	pMSSM12_MCMC1_24_197574	0.05333
532	pMSSM12_MCMC1_10_365134	0.0004308
534	pMSSM12_MCMC1_48_846257	3.76e-05
535	pMSSM12_MCMC1_48_492657	0.2521
537	pMSSM12_MCMC1_44_698264	0.002436
539	pMSSM12_MCMC1_20_484688	0.1455
540	pMSSM12_MCMC1_39_632204	16.96
542	pMSSM12_MCMC1_38_954871	0.0005473
544	pMSSM12_MCMC1_4_319133	1.493
545	pMSSM12_MCMC1_20_626263	0.08485
546	pMSSM12_MCMC1_27_196074	0.1308
547	pMSSM12_MCMC1_15_308956	0.6864
548	pMSSM12_MCMC1_23_257402	1.967
551	pMSSM12_MCMC1_27_846518	0.002891
555	pMSSM12_MCMC1_15_699119	0.004073
556	pMSSM12_MCMC1_4_406496	0.3702
558	pMSSM12_MCMC1_17_447151	0.0005811
559	pMSSM12_MCMC1_29_565408	0.03688
560	pMSSM12_MCMC1_15_854551	7.17e-05
561	pMSSM12_MCMC1_10_502377	0.001683
562	pMSSM12_MCMC1_45_587235	0.3196
564	pMSSM12_MCMC1_16_218750	0.1112
565	pMSSM12_MCMC1_46_875301	0.006975
566	pMSSM12_MCMC1_42_909855	0.0006073
567	pMSSM12_MCMC1_23_796334	0.02687
568	pMSSM12_MCMC1_41_535768	2.709
569	pMSSM12_MCMC1_15_562935	0.01187
571	pMSSM12_MCMC1_36_660220	0.006478
572	pMSSM12_MCMC1_18_742522	9.786
573	pMSSM12_MCMC1_36_395406	2.324
574	pMSSM12_MCMC1_42_647191	0.03636
576	pMSSM12_MCMC1_13_359880	0.6531
577	pMSSM12_MCMC1_10_670902	0.01425
578	pMSSM12_MCMC1_39_289250	0.01612
580	pMSSM12_MCMC1_31_915217	0.01502
581	pMSSM12_MCMC1_42_956909	0.8204
583	pMSSM12_MCMC1_2_345775	0.1305
584	pMSSM12_MCMC1_36_682625	0.0147
585	pMSSM12_MCMC1_24_316198	52.9
586	pMSSM12_MCMC1_29_726238	0.6552
588	pMSSM12_MCMC1_5_346461	0.4984
589	pMSSM12_MCMC1_17_199406	2.659
590	pMSSM12_MCMC1_30_578677	0.003928
591	pMSSM12_MCMC1_8_575178	0.09854
592	pMSSM12_MCMC1_39_783076	0.01065
